======================================================================================================================================================
LOG DE MUDANÇAS DE ESTADO DOS PROCESSOS
Formato: [Tempo] PID | Nome | Razão | Estado Inicial -> Próximo Estado | Tabela de Páginas
[21:56:17.576] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.579] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.638] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.640] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.701] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.704] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.765] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.768] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.828] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.831] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.890] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.893] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.953] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.956] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.017] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.020] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.079] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.082] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.142] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.145] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.206] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.209] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.270] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.273] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.332] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:18.343] PID: 3   | fibonacci10     | Término do processo  | TERMINATED -> TERMINATED | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }

======================================================================================================================================================
FIM DO LOG
======================================================================================================================================================
